year,city,country,avg_local_temp,avg_global_temp
1796,Delhi,India,25.03,8.27
1797,Delhi,India,26.71,8.51
1798,Delhi,India,24.29,8.67
1799,Delhi,India,25.28,8.51
1800,Delhi,India,25.21,8.48
1801,Delhi,India,24.22,8.59
1802,Delhi,India,25.63,8.58
1803,Delhi,India,25.38,8.50
1804,Delhi,India,25.68,8.84
1805,Delhi,India,25.30,8.56
1806,Delhi,India,25.22,8.43
1807,Delhi,India,24.97,8.28
1808,Delhi,India,,7.63
1809,Delhi,India,,7.08
1810,Delhi,India,,6.92
1811,Delhi,India,,6.86
1812,Delhi,India,,7.05
1813,Delhi,India,24.56,7.74
1814,Delhi,India,23.73,7.59
1815,Delhi,India,24.09,7.24
1816,Delhi,India,23.70,6.94
1817,Delhi,India,23.86,6.98
1818,Delhi,India,24.37,7.83
1819,Delhi,India,23.90,7.37
1820,Delhi,India,24.12,7.62
1821,Delhi,India,24.83,8.09
1822,Delhi,India,24.93,8.19
1823,Delhi,India,24.63,7.72
1824,Delhi,India,25.30,8.55
1825,Delhi,India,25.11,8.39
1826,Delhi,India,25.12,8.36
1827,Delhi,India,25.36,8.81
1828,Delhi,India,24.90,8.17
1829,Delhi,India,24.71,7.94
1830,Delhi,India,25.07,8.52
1831,Delhi,India,24.43,7.64
1832,Delhi,India,24.62,7.45
1833,Delhi,India,24.85,8.01
1834,Delhi,India,24.82,8.15
1835,Delhi,India,23.90,7.39
1836,Delhi,India,24.54,7.70
1837,Delhi,India,24.42,7.38
1838,Delhi,India,24.38,7.51
1839,Delhi,India,24.45,7.63
1840,Delhi,India,24.72,7.80
1841,Delhi,India,24.49,7.69
1842,Delhi,India,24.78,8.02
1843,Delhi,India,24.75,8.17
1844,Delhi,India,24.36,7.65
1845,Delhi,India,24.60,7.85
1846,Delhi,India,25.16,8.55
1847,Delhi,India,24.66,8.09
1848,Delhi,India,24.45,7.98
1849,Delhi,India,24.49,7.98
1850,Delhi,India,24.78,7.90
1851,Delhi,India,24.76,8.18
1852,Delhi,India,24.65,8.10
1853,Delhi,India,24.88,8.04
1854,Delhi,India,25.02,8.21
1855,Delhi,India,25.24,8.11
1856,Delhi,India,23.86,8.00
1857,Delhi,India,24.30,7.76
1858,Delhi,India,,8.10
1859,Delhi,India,,8.25
